,pointid_in_layer,layer_name,lclass,index,geometry,id,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,NDBI,NDWI,NDVI,BSI
28,163,Forest,0,28,POINT (478191.93526583 1271393.4427488102),2133,0.05785694345831871,0.04500000178813934,0.05999999865889549,0.04859999939799309,0.09733124822378159,0.22632500529289246,0.27986249327659607,0.2696000039577484,0.3124125003814697,0.3053611218929291,0.21275000274181366,0.11968124657869339,-0.11786047369241714,-0.6359223127365112,0.6945317387580872,-0.30301186442375183
29,529,Water,4,29,POINT (494211.77553489915 1288697.0713031997),4599,0.058154165744781494,0.07180000096559525,0.08479999750852585,0.053599998354911804,0.04490000009536743,0.027518749237060547,0.02800625003874302,0.020800000056624413,0.019587500020861626,0.01516041625291109,0.011625000275671482,0.00904375035315752,-0.2829606831073761,0.6060606241226196,-0.44086021184921265,-0.1929626762866974
30,240,SavannahGrassland,2,30,POINT (486525.689078524 1272355.2476126666),3610,0.09302916377782822,0.0737999975681305,0.09960000216960907,0.11180000007152557,0.1579124927520752,0.24669374525547028,0.2801562547683716,0.305400013923645,0.3122999966144562,0.2949124872684479,0.2645687460899353,0.1774437427520752,-0.07163769751787186,-0.5081481337547302,0.46404603123664856,-0.13457565009593964
31,269,Building,3,31,POINT (487020.55227387167 1276990.1081982416),1539,0.1689937561750412,0.2207999974489212,0.1987999975681305,0.1873999983072281,0.20593124628067017,0.20003125071525574,0.28071874380111694,0.28299999237060547,0.30601251125335693,0.2840583324432373,0.4776812493801117,0.5414062738418579,0.2559301257133484,-0.1747613102197647,0.20323128998279572,0.18254511058330536
32,136,RoadsAndPavements,1,32,POINT (482903.3614555458 1276755.445508422),2806,0.16561459004878998,0.1995999962091446,0.26420000195503235,0.3192000091075897,0.3457687497138977,0.3437812626361847,0.3474625051021576,0.33959999680519104,0.33991876244544983,0.3461770713329315,0.41753751039505005,0.4126250147819519,0.10293705016374588,-0.12487578392028809,0.030965391546487808,0.15155091881752014
33,377,Building,3,33,POINT (490088.99970727315 1285153.306019176),1647,0.14176666736602783,0.13779999315738678,0.15279999375343323,0.17059999704360962,0.21154999732971191,0.20929375290870667,0.21594999730587006,0.19859999418258667,0.2397875040769577,0.26426875591278076,0.36141249537467957,0.35692501068115234,0.2907301187515259,-0.13033579289913177,0.07583965361118317,0.221228688955307
34,214,BareLand,6,34,POINT (478454.8111283041 1283380.2875306134),914,0.10707499831914902,0.1526000052690506,0.22779999673366547,0.287200003862381,0.3101625144481659,0.3169437646865845,0.33886250853538513,0.34200000762939453,0.3340812623500824,0.3181062638759613,0.4696812629699707,0.40063750743865967,0.15730467438697815,-0.20042119920253754,0.08709472417831421,0.16342301666736603
35,622,RoadsAndPavements,1,35,POINT (481798.08462120214 1275254.0527321023),3292,0.07290208339691162,0.10339999943971634,0.11760000139474869,0.12600000202655792,0.1315937489271164,0.13800625503063202,0.14695000648498535,0.1477999985218048,0.15735000371932983,0.22131666541099548,0.2140749990940094,0.19241875410079956,0.18314334750175476,-0.11379050463438034,0.07962016016244888,0.11800656467676163
36,456,RoadsAndPavements,1,36,POINT (482147.4641137915 1276124.369332832),3126,0.08631250262260437,0.08399999886751175,0.09019999951124191,0.1096000000834465,0.1216687485575676,0.14041875302791595,0.15343749523162842,0.10540000349283218,0.14708125591278076,0.20225000381469727,0.17007499933242798,0.1503937542438507,0.23477628827095032,-0.0777096077799797,-0.01953488402068615,0.15708662569522858
37,24,BareLand,6,37,POINT (485326.3956963211 1270407.979399273),724,0.10515208542346954,0.17139999568462372,0.22419999539852142,0.2924000024795532,0.3233500123023987,0.333050012588501,0.3462562561035156,0.3508000075817108,0.34177500009536743,0.29854583740234375,0.4376562535762787,0.38555625081062317,0.11015988886356354,-0.2201739102602005,0.09079602360725403,0.12977997958660126
